ReviewedLocationName;City;Country;place_id;latitude;longitude;type;price_level;avg_google_rating;operational_status
Club Pueblo Unido;Avellaneda;Argentina;pl_id_64;-34.6622828;-58.36588339999999;restaurant;1.0;4.4;OPERATIONAL
Mr Winery;Mendoza;Argentina;pl_id_65;;;;;;
Hotel Alun Nehuen;San Carlos de Bariloche;Argentina;pl_id_66;-41.0735485;-71.5676141;lodging;;4.3;OPERATIONAL
Concha su mare;Lanus;Argentina;pl_id_67;-34.7097841;-58.3863759;restaurant;2.0;4.6;OPERATIONAL
Napoles Bar;Buenos Aires;Argentina;pl_id_68;-34.6265607;-58.3717379;bar;3.0;4.5;OPERATIONAL
Hermanos;Martinez;Argentina;pl_id_69;-34.4927923;-58.5302616;restaurant;3.0;4.3;OPERATIONAL
;Buenos Aires;Argentina;pl_id_70;-34.5917396;-58.42734949999999;bar;;4.2;OPERATIONAL
El Timon de Don Jesus;Buenos Aires;Argentina;pl_id_71;-34.5820091;-58.4434923;restaurant;;4.0;OPERATIONAL
Playa El Cuyo;El Cuyo;México;pl_id_72;21.5177629;-87.67688679999999;park;;4.7;OPERATIONAL
Don Julio;Buenos Aires;Argentina;pl_id_73;-34.5863132;-58.4243122;restaurant;3.0;4.4;OPERATIONAL
Il Ballo del Mattone;Buenos Aires;Argentina;pl_id_74;-34.5825648;-58.44016440000001;restaurant;2.0;4.1;OPERATIONAL
Pizzeria Los Campeones;Buenos Aires;Argentina;pl_id_75;-34.6380679;-58.3745546;meal_delivery;2.0;4.5;OPERATIONAL
Lo de Beto;Canuelas;Argentina;pl_id_76;-35.0311911;-58.7502136;restaurant;2.0;4.3;OPERATIONAL
Hotel Puerto Campeche;Ciudad del Carmen;México;pl_id_77;18.6421354;-91.7827105;lodging;;4.1;OPERATIONAL
;Tafi del Valle;Argentina;pl_id_78;-26.8516667;-65.70981669999999;locality;;;
Sitio Arqueologico El Shincal;Londres;Argentina;pl_id_79;-27.690201;-67.1839166;tourist_attraction;;4.7;OPERATIONAL
Tupac Restobar;Fiambala;Argentina;pl_id_80;-27.6922737;-67.6218672;restaurant;;3.8;OPERATIONAL
Ruta del Adobe;Tinogasta;Argentina;pl_id_81;-28.0670533;-67.56799459999999;lodging;;4.4;OPERATIONAL
Ruta de los Seismiles;Tinogasta;Argentina;pl_id_82;-27.6445015;-68.1639064;park;;4.9;OPERATIONAL
Eden Hotel;San José de Jáchal;Argentina;pl_id_83;-31.0918873;-64.4698811;museum;;4.6;OPERATIONAL
Museo Polifacetico Rocsen;La Falda;Argentina;pl_id_84;-31.799602;-64.956544;museum;;4.7;OPERATIONAL
House of Manuel Mujica Lainez;Nono;Argentina;pl_id_85;-30.96246859999999;-64.48329869999999;museum;;4.6;OPERATIONAL
Laberinto De Borges;La Cumbre;Argentina;pl_id_86;-34.6565157;-68.2393658;point_of_interest;;4.4;OPERATIONAL
Isla Victoria;San Rafael;Argentina;pl_id_87;-40.9416667;-71.5413889;natural_feature;;4.7;
Parque Nacional Lago Puelo;Villa La Angostura;Argentina;pl_id_88;-42.0972699;-71.6197991;park;;4.7;OPERATIONAL
La Tetera case de te shop;Villa La Angostura;Argentina;pl_id_89;-40.7652407;-71.6435594;point_of_interest;2.0;4.6;OPERATIONAL
;Zarate;Argentina;pl_id_90;-34.0964845;-59.026241;bar;2.0;4.4;OPERATIONAL
La Maison;San Fernando del Valle de Catamarca;Argentina;pl_id_91;-28.469048;-65.77460289999999;lodging;;3.8;OPERATIONAL
Posada Las Canas;Fiambala;Argentina;pl_id_92;-27.6892108;-67.6280212;lodging;;4.9;OPERATIONAL
Hotel Villa Victoria de Tigre;Tigre;Argentina;pl_id_93;-34.4138572;-58.5909132;lodging;;4.4;OPERATIONAL
;Villa Gesell;Argentina;pl_id_94;-37.2626626;-56.97357520000001;point_of_interest;;3.8;OPERATIONAL
Hotel Dolmen;Buenos Aires;Argentina;pl_id_95;-34.5956022;-58.3799073;lodging;;4.3;OPERATIONAL
Ker Recoleta Hotel;Buenos Aires;Argentina;pl_id_96;-34.5971744;-58.386629;lodging;;3.9;OPERATIONAL
Almarena Puerto Retiro Affiliated By Melia;Buenos Aires;Argentina;pl_id_97;-34.5837396;-58.37059980000001;lodging;;4.1;OPERATIONAL
Hotel Miami;Mar del Plata;Argentina;pl_id_98;-38.000127;-57.54481599999999;lodging;;4.4;OPERATIONAL
Hotel Spa Republica;Mar del Plata;Argentina;pl_id_99;-38.0016568;-57.54833360000001;lodging;;4.4;OPERATIONAL
Restaurant Parrilla El Argentino;Buenos Aires;Argentina;pl_id_100;-34.6098348;-58.3835018;restaurant;;4.3;OPERATIONAL
;Hong Kong;China;pl_id_101;22.29677;114.1681525;restaurant;2.0;3.6;OPERATIONAL
Los Argentinos;La Haya;Países Bajos;pl_id_102;52.0780584;4.3100581;restaurant;2.0;4.3;OPERATIONAL
The Victoria Paddington;Londres;Reino Unido;pl_id_103;51.5135055;-0.1711899;bar;2.0;4.6;OPERATIONAL
Park MGM Las Vegas;Las Vegas;Nevada;pl_id_104;36.1044046;-115.1766692;casino;;4.3;OPERATIONAL
Old City;Samarkand;Uzbekistán;pl_id_105;39.6479944;66.9573068;restaurant;;4.2;OPERATIONAL
;Panguipulli;Chile;pl_id_106;-39.6431109;-72.32165350000001;restaurant;2.0;4.7;OPERATIONAL
Rayenco Restaurante Pizzeria;Choshuenco;Chile;pl_id_107;-39.8365578;-72.07805259999999;restaurant;;4.9;OPERATIONAL
Hotel Nodo;Providencia;Chile;pl_id_108;-33.4222093;-70.6070354;lodging;;4.3;OPERATIONAL
Hotel Solans Carlton;Buenos Aires;Argentina;pl_id_109;-34.5946333;-58.3845256;lodging;;4.2;OPERATIONAL
Milion;Buenos Aires;Argentina;pl_id_110;-34.59652880000001;-58.38862169999999;art_gallery;3.0;4.1;OPERATIONAL
The Hole;Buenos Aires;Argentina;pl_id_111;-34.5890867;-58.4266172;bar;3.0;4.3;OPERATIONAL
El Cuartito;Buenos Aires;Argentina;pl_id_112;-34.5978004;-58.3854176;restaurant;2.0;4.5;OPERATIONAL
Helados Liquine;Panguipulli;Chile;pl_id_113;-39.7351156;-71.8542228;point_of_interest;;4.9;OPERATIONAL
Teatro Colon;Buenos Aires;Argentina;pl_id_114;-34.601152;-58.3833278;tourist_attraction;;4.8;OPERATIONAL
Spiagge di Napoli;Buenos Aires;Argentina;pl_id_115;-34.6207859;-58.4155191;restaurant;2.0;4.2;OPERATIONAL
Recoleta;Buenos Aires;Argentina;pl_id_116;-34.5873825;-58.39727620000001;sublocality_level_1;;;
El Ateneo Grand Splendid;Buenos Aires;Argentina;pl_id_117;-34.5959833;-58.3942285;book_store;;4.8;OPERATIONAL
SANDEMANs NEW Europe Prague;Praga;República Checa;pl_id_118;;;;;;
;Mendoza;Argentina;pl_id_119;-32.970106;-68.7972322;store;;0.0;OPERATIONAL
Altieri Wines Vinorum;Lujan de Cuyo;Argentina;pl_id_120;-33.0675809;-68.901555;liquor_store;2.0;4.8;OPERATIONAL
Enbocacr;San José;Costa Rica;pl_id_121;9.9381997;-84.109391;restaurant;;4.5;OPERATIONAL
Scooter Colosseum;Roma;Italia;pl_id_122;41.8894088;12.4942594;point_of_interest;;4.9;OPERATIONAL
;Estambul;Turquía;pl_id_123;41.0159975;28.9509135;lodging;;4.3;OPERATIONAL
Blue Mosque;Estambul;Turquía;pl_id_124;41.0054096;28.9768138;mosque;;4.7;OPERATIONAL
Guided Istanbul Tours;Estambul;Turquía;pl_id_125;41.0081456;28.9760466;travel_agency;;4.9;OPERATIONAL
Barmarikka;Goreme;Turquía;pl_id_126;38.64281769999999;34.8286133;point_of_interest;;5.0;OPERATIONAL
Goreme National Park;Goreme;Turquía;pl_id_127;38.6531191;34.8633084;tourist_attraction;;4.7;OPERATIONAL
Anatolian Balloons;Goreme;Turquía;pl_id_128;38.6418486;34.8287265;travel_agency;;4.4;OPERATIONAL
Rafa Nadal Tennis Center Cancun;Playa Mujeres;México;pl_id_129;21.2689353;-86.8206033;gym;;4.7;OPERATIONAL
LATAM Airlines;Mundo;;pl_id_130;-34.5580305;-58.4170088;point_of_interest;;3.1;OPERATIONAL
Heladeria Scannapieco Palermo Soho;Buenos Aires;Argentina;pl_id_131;-34.590987;-58.43317899999999;point_of_interest;2.0;4.2;OPERATIONAL
La Cabrera Buenos Aires;Buenos Aires;Argentina;pl_id_132;-34.5890898;-58.4332083;bar;3.0;4.3;OPERATIONAL
Grand Palladium Select Costa Mujeres;Playa Mujeres;México;pl_id_133;21.268003;-86.81471429999999;lodging;;4.7;OPERATIONAL
Negroni;Montevideo;Uruguay;pl_id_134;-34.924868;-56.1567617;restaurant;3.0;4.4;OPERATIONAL
Plaza Independencia;Montevideo;Uruguay;pl_id_135;-34.9070225;-56.1997977;route;;;
Williamsburg Burger Bar Armenia;Buenos Aires;Argentina;pl_id_136;-34.5904386;-58.4290577;bar;2.0;4.1;CLOSED_PERMANENTLY
Freddo;Buenos Aires;Argentina;pl_id_137;-34.5697014;-58.44493420000001;point_of_interest;3.0;3.8;OPERATIONAL
Noi Vitacura;Santiago;Chile;pl_id_138;-33.4014296;-70.598734;lodging;;4.4;OPERATIONAL
Los Naranjos Resort Spa Termal;Salto;Uruguay;pl_id_139;-31.46537889999999;-57.9097047;spa;;4.1;OPERATIONAL
Viva la Pizza;Salto;Uruguay;pl_id_140;-31.3773;-57.9594707;restaurant;;4.3;OPERATIONAL
La Milonguita;Concordia;Argentina;pl_id_141;-31.3987138;-58.0158457;bakery;;4.1;OPERATIONAL
Mandarin Oriental Santiago;Santiago;Chile;pl_id_142;-33.4038208;-70.58331070000001;lodging;;4.6;OPERATIONAL
Sicily Day By Day Taormina;Sicilia;Italia;pl_id_143;37.4985239;15.08526;travel_agency;;4.6;OPERATIONAL
Gallo Cedrone;Sicilia;Italia;pl_id_144;37.8591713;15.2768145;restaurant;1.0;4.7;OPERATIONAL
Locanda di Martume;Fasano;Italia;pl_id_145;40.8349593;17.3583018;restaurant;2.0;4.7;OPERATIONAL
Pentole e Provette;Fasano;Italia;pl_id_146;40.8364812;17.3617552;restaurant;2.0;4.8;OPERATIONAL
Caldwell House Bed and Breakfast;Salisbury Mills;Estado de Nueva York;pl_id_147;41.4318667;-74.1230526;lodging;;4.9;OPERATIONAL
Your Day Tours;Reikiavik;Islandia;pl_id_148;64.1524179;-21.8674354;travel_agency;;4.9;OPERATIONAL
Silica Hotel Blue Lagoon;Grindavík;Islandia;pl_id_149;63.88084850000001;-22.4420751;spa;;4.7;OPERATIONAL
Tango Piola;Buenos Aires;Argentina;pl_id_150;-34.5959697;-58.3844214;restaurant;2.0;4.3;OPERATIONAL
Pestana Chelsea Bridge Hotel Spa;Londres;Reino Unido;pl_id_151;51.48125839999999;-0.1487888;gym;;4.3;OPERATIONAL
Ivy Lodge;Newport;Rhode Island;pl_id_152;41.4768561;-71.30607049999999;lodging;;4.9;OPERATIONAL
Sugar Loaf Hill B B;Wakefield;Rhode Island;pl_id_153;41.4353557;-71.50809799999999;lodging;;4.9;OPERATIONAL
Matunuck Oyster Bar;Wakefield;Rhode Island;pl_id_154;41.3863608;-71.52635289999999;bar;3.0;4.8;OPERATIONAL
Casa SaltShaker;Buenos Aires;Argentina;pl_id_155;-34.6057919;-58.3909096;home_goods_store;;5.0;OPERATIONAL
Poetry Building;Buenos Aires;Argentina;pl_id_156;-34.5933383;-58.39700569999999;clothing_store;;4.8;OPERATIONAL
Chachingo Craft Beer;Mendoza;Argentina;pl_id_157;-32.8919084;-68.85622409999999;bar;2.0;4.1;OPERATIONAL
Excursion a la Isla Saona;República Dominicana;;pl_id_158;;;;;;
Casa Vigil Palmares;Godoy Cruz;Argentina;pl_id_159;-32.9551847;-68.8591622;restaurant;3.0;4.4;OPERATIONAL
Casa El Enemigo;Maipu;Argentina;pl_id_160;-33.0446168;-68.7243247;restaurant;3.0;4.7;OPERATIONAL
;The Woodlands;Texas;pl_id_161;30.1737425;-95.4599953;real_estate_agency;;5.0;OPERATIONAL
Crowne Plaza Lima an IHG hotel;Lima;Perú;pl_id_162;-12.124672;-77.030101;lodging;;4.4;OPERATIONAL
La Biblioteca Cafe;Buenos Aires;Argentina;pl_id_163;-34.5967898;-58.3836577;cafe;;4.3;OPERATIONAL
Anna Bistro;Mendoza;Argentina;pl_id_164;-32.8838368;-68.8510289;restaurant;2.0;4.5;OPERATIONAL
Heladeria Famiglia Perin;Mendoza;Argentina;pl_id_165;-32.888618;-68.8494022;cafe;2.0;4.6;OPERATIONAL
Ferruccio Soppelsa Helados;Mendoza;Argentina;pl_id_166;-32.88886120000001;-68.8500749;bakery;3.0;4.3;OPERATIONAL
Bruselas;Mendoza;Argentina;pl_id_167;-32.8891906;-68.8495635;restaurant;2.0;4.4;CLOSED_PERMANENTLY
Abrasado;Guaymallén;Argentina;pl_id_168;-32.8965157;-68.8176216;restaurant;4.0;4.8;OPERATIONAL
Diplomatic Hotel;Mendoza;Argentina;pl_id_169;-32.8892959;-68.8495494;lodging;;4.6;OPERATIONAL
Innamorato;Godoy Cruz;Argentina;pl_id_170;-32.9329177;-68.84884339999999;bakery;;4.4;OPERATIONAL
Entre Cielos Wine Wellness Hotel;Lujan de Cuyo;Argentina;pl_id_171;-33.0146894;-68.9095777;spa;;4.6;OPERATIONAL
Plantado Restaurant;Montevideo;Uruguay;pl_id_172;-34.9097314;-56.1385018;restaurant;;4.4;OPERATIONAL
Super shuttle;San Francisco;California;pl_id_173;37.7788714;-122.4022991;point_of_interest;;2.3;OPERATIONAL
Bix;San Francisco;California;pl_id_174;37.796796;-122.402915;night_club;3.0;4.5;OPERATIONAL
Gray Line San Francisco;San Francisco;California;pl_id_175;37.7882481;-122.4097056;travel_agency;;4.4;OPERATIONAL
;Ciudad de Panamá;Panamá;pl_id_176;8.9823792;-79.51986959999999;locality;;;
Wonders Boutique Hotel;Aruba;;pl_id_177;12.5285105;-70.0367353;lodging;;4.6;OPERATIONAL
Hooters;Pensacola Beach;Florida;pl_id_178;30.3353417;-87.1426389;meal_delivery;2.0;3.8;OPERATIONAL
Hawthornbank Guest House;Oban;Reino Unido;pl_id_179;56.4181392;-5.4710757;lodging;;4.9;OPERATIONAL
Abbey House Inn;Winters;California;pl_id_180;38.5222412;-121.9710796;lodging;;4.8;OPERATIONAL
Adventure Cat Sailing Charters;San Francisco;California;pl_id_181;37.8102035;-122.410932;travel_agency;;4.9;OPERATIONAL
Argentina Rafting Expeditions;Mendoza;Argentina;pl_id_182;-32.8919435;-68.83854269999999;gym;;4.7;OPERATIONAL
Baja Fresh Express;Atlanta;Georgia;pl_id_183;33.642983;-84.4327017;restaurant;1.0;3.0;OPERATIONAL
Ce Hotel de Diseno;Buenos Aires;Argentina;pl_id_184;-34.5971234;-58.3916012;lodging;;4.3;OPERATIONAL
Fierro Hotel Buenos Aires;Buenos Aires;Argentina;pl_id_185;-34.578843;-58.43530179999999;lodging;;4.6;OPERATIONAL
The Old Hawaiian B B;Isla de Hawái;Hawái;pl_id_186;19.5429151;-155.6658568;natural_feature;;4.6;
Sonder The Henry;Londres;Reino Unido;pl_id_187;51.51246159999999;-0.1835502;lodging;;4.3;OPERATIONAL
Nick J s Cafe;Knoxville;Tennessee;pl_id_188;35.9354151;-84.1437278;restaurant;1.0;4.8;OPERATIONAL
Local Goat New American Restaurant Ooltewah;Ooltewah;Tennessee;pl_id_189;35.0866005;-85.06468629999999;restaurant;2.0;4.4;OPERATIONAL
Pecos Trail Inn;Santa Fe;Nuevo Mexico;pl_id_190;35.6480256;-105.9337077;lodging;;4.7;OPERATIONAL
Fly Albuquerque;Albuquerque;Nuevo Mexico;pl_id_191;35.1549885;-106.6812722;tourist_attraction;;4.9;OPERATIONAL
Maquenque Eco Lodge;Boca Tapada;Costa Rica;pl_id_192;10.680723;-84.20324769999999;lodging;;4.8;OPERATIONAL
Playa Grande Surf Camp;Playa Grande;Costa Rica;pl_id_193;10.3173827;-85.8383489;travel_agency;;4.6;OPERATIONAL
Tree Houses Hotel Costa Rica;Florencia;Costa Rica;pl_id_194;10.3760772;-84.526918;park;;4.7;OPERATIONAL
Prescott Pines Inn;Prescott;Arizona;pl_id_195;34.5264216;-112.4787665;bar;;4.8;OPERATIONAL
Picnic Soho;Málaga;España;pl_id_196;36.7157213;-4.4233685;cafe;1.0;4.4;OPERATIONAL
Plava Alga;Hvar;Croacia;pl_id_197;43.17031069999999;16.4413126;restaurant;2.0;4.6;OPERATIONAL
Grafitiyul;Tel Aviv;Israel;pl_id_198;32.0576967;34.7640646;art_gallery;;4.9;OPERATIONAL
Susana Balbo Wines;Lujan de Cuyo;Argentina;pl_id_199;-33.1154107;-68.9030964;food;;4.4;OPERATIONAL
Bodega La Azul;Mendoza;Argentina;pl_id_200;-33.469285;-69.2208854;food;;4.7;OPERATIONAL
Bodega Andeluna;Tupungato;Argentina;pl_id_201;-33.455505;-69.21215;tourist_attraction;;4.4;OPERATIONAL
Bodega Salentein;Los Árboles;Argentina;pl_id_202;-33.4942221;-69.24290959999999;food;;4.3;OPERATIONAL
SOUTHROAD;El Calafate;Argentina;pl_id_203;-50.3384112;-72.2667574;tourist_attraction;;4.9;OPERATIONAL
Casimiro Bigua Parrilla Asador El Calafate;El Calafate;Argentina;pl_id_204;-50.3380944;-72.26238239999999;restaurant;3.0;4.3;OPERATIONAL
Esplendor by Wyndham El Calafate;El Calafate;Argentina;pl_id_205;-50.3430645;-72.2639196;lodging;;4.3;OPERATIONAL
Kalma Resto;Ushuaia;Argentina;pl_id_206;-54.8013753;-68.30549119999999;restaurant;;4.7;OPERATIONAL
Tangol Tours Ushuaia;Ushuaia;Argentina;pl_id_207;-34.6176638;-58.3717244;travel_agency;;4.3;OPERATIONAL
Luna Roja Ushuaia;Ushuaia;Argentina;pl_id_208;;;;;;
Placio Barolo;Buenos Aires;Argentina;pl_id_209;-34.6095914;-58.3858428;point_of_interest;;4.6;OPERATIONAL
Argentine Experience;Buenos Aires;Argentina;pl_id_210;-34.5806683;-58.432545;restaurant;4.0;4.5;OPERATIONAL
Tante Sara Cafe Bar;Ushuaia;Argentina;pl_id_211;-54.80710029999999;-68.3078869;restaurant;2.0;4.4;OPERATIONAL
Buena Vista Restaurant;Ushuaia;Argentina;pl_id_212;-54.8074786;-68.3085797;restaurant;;4.3;OPERATIONAL
Lennox Hotels Ushuaia;Ushuaia;Argentina;pl_id_213;-54.8074811;-68.3086124;restaurant;;4.3;OPERATIONAL
Teatro Astor Piazzola;Buenos Aires;Argentina;pl_id_214;-34.6060581;-58.3749897;restaurant;;4.6;OPERATIONAL
;Mundo;;pl_id_215;-34.5917396;-58.42734949999999;bar;;4.2;OPERATIONAL
Pasticceria Grandi;Argegno;Italia;pl_id_216;45.9433836;9.1282839;bakery;;4.3;OPERATIONAL
;Puerto Varas;Chile;pl_id_217;-41.3172309;-72.98473419999999;locality;;;
Cerro Tronador;San Carlos de Bariloche;Argentina;pl_id_218;-41.1653319;-71.8818615;tourist_attraction;;4.7;OPERATIONAL
Colonia Suiza;San Carlos de Bariloche;Argentina;pl_id_219;-41.0953125;-71.5105057;locality;;;
El Rancho de Ferrito;Chilecito;Argentina;pl_id_220;-29.1559742;-67.4940529;restaurant;2.0;4.4;OPERATIONAL
Naindo Park Hotel;La Rioja;Argentina;pl_id_221;-29.4131654;-66.8548732;lodging;;4.2;OPERATIONAL
Casona del Pino Hotel Boutique;Fiambala;Argentina;pl_id_222;-27.6878452;-67.6194409;lodging;;4.6;OPERATIONAL
Hotel Jardin de Iguazu;Puerto Iguazú;Argentina;pl_id_223;-25.5970516;-54.5721245;lodging;;4.6;OPERATIONAL
Rio Correntoso;Villa La Angostura;Argentina;pl_id_224;-40.7358272;-71.6716031;tourist_attraction;;4.8;OPERATIONAL
Residencia Messidor;Villa La Angostura;Argentina;pl_id_225;-40.78151709999999;-71.6500466;point_of_interest;;4.3;OPERATIONAL
Ruta 40;Villa La Angostura;Argentina;pl_id_226;-36.967222;-69.7937775;route;;;
Nicoletto Pastas;Villa La Angostura;Argentina;pl_id_227;-40.7627157;-71.6423774;restaurant;2.0;4.5;OPERATIONAL
Cerro Bayo;Villa La Angostura;Argentina;pl_id_228;-40.7554494;-71.5930175;point_of_interest;;4.4;OPERATIONAL
Cascada del Rio Bonito;Villa La Angostura;Argentina;pl_id_229;-40.7634848;-71.5932461;tourist_attraction;;4.6;OPERATIONAL
Hotel Amerian Salta;Salta;Argentina;pl_id_230;-24.7921669;-65.40432609999999;lodging;;4.0;OPERATIONAL
El Charrua Caseros;Salta;Argentina;pl_id_231;-24.7901935;-65.4059683;restaurant;2.0;4.4;OPERATIONAL
Monumento al Gral Martin Miguel de Guemes;Salta;Argentina;pl_id_232;-24.7867466;-65.39931109999999;tourist_attraction;;4.6;OPERATIONAL
